Rank	Article	href													Views	 %-Mobi	 %-Zero
54	List of Bollywood films of 2017	/wiki/List_of_Bollywood_films_of_2017													289,886	64.91%	1.37%
55	XXX	/wiki/XXX											Padlock-silver.svg		284,548	78.43%	8.48%
56	AC/DC	/wiki/AC/DC	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	284,211	60.42%	0.17%
57	Riverdale (2017 TV series)	/wiki/Riverdale_(2017_TV_series)					Symbol c class.svg						Padlock-silver.svg		283,447	59.00%	0.44%
58	Jeffrey Dahmer	/wiki/Jeffrey_Dahmer				Symbol b class.svg									282,756	80.59%	0.12%
59	Taylor Swift	/wiki/Taylor_Swift	Featured article star.svg										Padlock-silver.svg		282,499	59.16%	0.44%
60	United States	/wiki/United_States		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	281,446	52.31%	1.07%
61	Kevin Spacey	/wiki/Kevin_Spacey					Symbol c class.svg			Symbol question.svg		Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	270,102	60.95%	0.35%
62	Louis C.K.	/wiki/Louis_C.K.				Symbol b class.svg									269,532	62.98%	0.18%
63	Winona Ryder	/wiki/Winona_Ryder		Symbol support vote.svg											269,407	75.88%	0.22%
64	American Horror Story: Cult	/wiki/American_Horror_Story:_Cult					Symbol c class.svg								268,290	63.50%	0.15%
65	Natalia Dyer	/wiki/Natalia_Dyer							Symbol stub class.svg						263,193	73.96%	0.15%
66	Electronic Arts	/wiki/Electronic_Arts					Symbol c class.svg						Padlock-silver.svg		259,602	28.18%	0.16%
67	Steppenwolf (comics)	/wiki/Steppenwolf_(comics)						Symbol start class.svg							259,275	60.37%	0.42%
68	Chinua Achebe	/wiki/Chinua_Achebe	Featured article star.svg												258,770	35.29%	0.63%
69	Padmavati (film)	/wiki/Padmavati_(film)						Symbol start class.svg							258,154	73.37%	0.92%
70	Brett Ratner	/wiki/Brett_Ratner					Symbol c class.svg							Padlock-olive.svg	253,688	60.44%	0.26%
71	Eminem	/wiki/Eminem					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	251,778	61.27%	0.91%
72	Gaten Matarazzo	/wiki/Gaten_Matarazzo							Symbol stub class.svg						251,427	74.62%	0.17%
73	Elizabeth Smart kidnapping	/wiki/Elizabeth_Smart_kidnapping					Symbol c class.svg								250,161	77.70%	0.07%
74	Elizabeth II	/wiki/Elizabeth_II	Featured article star.svg										Padlock-silver.svg		248,308	67.62%	0.64%
75	Revival (Eminem album)	/wiki/Revival_(Eminem_album)						Symbol start class.svg					Padlock-silver.svg		243,926	69.60%	0.74%
76	Peaky Blinders (TV series)	/wiki/Peaky_Blinders_(TV_series)						Symbol start class.svg							241,387	64.55%	0.17%
77	2017 in film	/wiki/2017_in_film													237,854	42.34%	1.20%
78	Wonder (film)	/wiki/Wonder_(film)						Symbol start class.svg							237,841	67.55%	0.18%
79	V. Shantaram	/wiki/V._Shantaram					Symbol c class.svg		Symbol stub class.svg				Padlock-silver.svg		234,370	46.44%	0.01%
80	Ben Affleck	/wiki/Ben_Affleck	Featured article star.svg										Padlock-silver.svg		228,149	62.88%	0.78%
81	Leonardo da Vinci	/wiki/Leonardo_da_Vinci		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	228,111	55.90%	0.99%
82	Murder on the Orient Express	/wiki/Murder_on_the_Orient_Express					Symbol c class.svg								227,388	64.51%	0.28%
83	World War II	/wiki/World_War_II		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	227,223	55.45%	0.81%
84	Rowan Atkinson	/wiki/Rowan_Atkinson					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	224,353	73.42%	2.18%
85	Millennials	/wiki/Millennials					Symbol c class.svg						Padlock-silver.svg		223,209	68.07%	0.28%
86	Thanksgiving	/wiki/Thanksgiving				Symbol b class.svg	Symbol c class.svg			Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	218,659	53.81%	0.48%
87	Pronoun	/wiki/Pronoun						Symbol start class.svg							216,257	3.70%	0.11%
88	India	/wiki/India	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	216,238	62.68%	1.22%
89	Pablo Escobar	/wiki/Pablo_Escobar				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		216,214	77.37%	1.00%
90	[[2017 Zimbabwean coup d'��tat]]													215,741	34.36%	1.46%
91	Queen Victoria	/wiki/Queen_Victoria	Featured article star.svg								Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	215,421	69.76%	0.42%
92	List of Marvel Cinematic Universe films	/wiki/List_of_Marvel_Cinematic_Universe_films	Featured article star.svg												215,017	61.12%	0.39%
93	Joe Biden	/wiki/Joe_Biden		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	212,946	71.39%	0.11%
94	AMGTV	/wiki/AMGTV						Symbol start class.svg							212,621	69.44%	0.14%
95	World War I	/wiki/World_War_I				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	210,802	59.73%	0.84%
96	Edmund Kemper	/wiki/Edmund_Kemper		Symbol support vote.svg											207,109	77.01%	0.10%
97	Camila Cabello	/wiki/Camila_Cabello						Symbol start class.svg					Padlock-silver.svg		206,726	65.13%	0.67%
98	Italy national football team	/wiki/Italy_national_football_team					Symbol c class.svg								205,381	42.37%	0.78%
99	Gianni Versace	/wiki/Gianni_Versace					Symbol c class.svg								202,973	75.70%	0.19%
100	Dan Gookin	/wiki/Dan_Gookin							Symbol stub class.svg						202,938	0.02%	0.00%
101	Otilonium bromide	/wiki/Otilonium_bromide							Symbol stub class.svg						202,847	0.09%	0.00%
102	Finn Wolfhard	/wiki/Finn_Wolfhard						Symbol start class.svg					Padlock-silver.svg		201,162	74.29%	0.22%
103	Wonder Woman (2017 film)	/wiki/Wonder_Woman_(2017_film)					Symbol c class.svg								200,396	59.46%	0.62%
104	Post Malone	/wiki/Post_Malone						Symbol start class.svg					Padlock-blue.svg		200,344	66.06%	0.28%
105	Star Trek: Discovery	/wiki/Star_Trek:_Discovery					Symbol c class.svg								197,313	43.19%	0.22%
106	Wing Chun	/wiki/Wing_Chun					Symbol c class.svg								195,189	3.83%	0.06%
107	DC Extended Universe	/wiki/DC_Extended_Universe					Symbol c class.svg								192,494	55.44%	0.48%
108	2018 FIFA World Cup seeding	/wiki/2018_FIFA_World_Cup_seeding								Symbol question.svg					187,813	46.70%	0.94%
109	Bile bear	/wiki/Bile_bear					Symbol c class.svg								186,606	26.64%	0.05%
110	Charlie Heaton	/wiki/Charlie_Heaton							Symbol stub class.svg						185,699	73.23%	0.16%
111	Adolf Hitler	/wiki/Adolf_Hitler		Symbol support vote.svg									Padlock-blue.svg	Padlock-olive.svg	184,981	57.37%	0.89%
112	XXXX	/wiki/XXXX											Padlock-silver.svg		184,722	87.58%	5.34%
113	Dwayne Johnson	/wiki/Dwayne_Johnson		Symbol support vote.svg									Padlock-silver.svg		184,009	70.74%	0.92%
114	Blake Shelton	/wiki/Blake_Shelton					Symbol c class.svg						Padlock-silver-light.svg		181,773	68.39%	0.33%
115	Google	/wiki/Google					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	181,040	46.17%	1.28%
116	Angus Young	/wiki/Angus_Young					Symbol c class.svg						Padlock-silver.svg		180,575	67.87%	0.13%
117	Cardi B	/wiki/Cardi_B				Symbol b class.svg							Padlock-silver.svg		176,335	73.53%	1.10%
118	Gianluigi Buffon	/wiki/Gianluigi_Buffon		Symbol support vote.svg											176,325	64.82%	1.08%
119	Sean Astin	/wiki/Sean_Astin						Symbol start class.svg							174,728	73.54%	0.12%
120	Pedro Infante	/wiki/Pedro_Infante					Symbol c class.svg								174,465	35.88%	0.01%
121	Deathstroke	/wiki/Deathstroke					Symbol c class.svg								174,222	69.04%	0.40%
122	Rampage (2018 film)	/wiki/Rampage_(2018_film)						Symbol start class.svg							173,287	57.89%	0.34%
123	Bigg Boss 11	/wiki/Bigg_Boss_11											Padlock-silver.svg		171,067	82.25%	1.17%
124	Tom Steyer	/wiki/Tom_Steyer					Symbol c class.svg						Padlock-silver.svg		170,832	78.72%	0.03%
125	It (2017 film)	/wiki/It_(2017_film)					Symbol c class.svg						Padlock-silver.svg		169,566	59.79%	0.86%
126	Avengers: Infinity War	/wiki/Avengers:_Infinity_War					Symbol c class.svg						Padlock-silver.svg		169,299	57.47%	0.67%
127	Demi Lovato	/wiki/Demi_Lovato		Symbol support vote.svg									Padlock-silver.svg		169,230	67.76%	0.54%
128	Alexis Ohanian	/wiki/Alexis_Ohanian						Symbol start class.svg							168,731	67.06%	0.93%
129	While You Were Sleeping (2017 TV series)	/wiki/While_You_Were_Sleeping_(2017_TV_series)					Symbol c class.svg								168,529	63.40%	0.60%
130	Star Wars	/wiki/Star_Wars				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	168,011	56.19%	0.31%
131	Alias Grace	/wiki/Alias_Grace						Symbol start class.svg							166,665	69.21%	0.13%
132	Ezra Miller	/wiki/Ezra_Miller					Symbol c class.svg	Symbol start class.svg							166,136	63.01%	0.40%
133	The Good Doctor (TV series)	/wiki/The_Good_Doctor_(TV_series)					Symbol c class.svg								165,570	56.71%	0.68%
134	'Ain Ghazal	/wiki/%27Ain_Ghazal						Symbol start class.svg							165,245	68.41%	0.00%
135	Ayn Ghazal	/wiki/Ayn_Ghazal						Symbol start class.svg							164,733	68.51%	0.00%
136	Dua Lipa	/wiki/Dua_Lipa						Symbol start class.svg							164,108	61.61%	0.61%
137	Keanu Reeves	/wiki/Keanu_Reeves					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	163,903	73.18%	0.41%
