Rank	Article	href													Views	 %-Mobi	 %-Zero
463	Seal (musician)	/wiki/Seal_(musician)					Symbol c class.svg								88,505	81.80%	0.21%
464	Melania Trump	/wiki/Melania_Trump					Symbol c class.svg						Padlock-blue.svg	Padlock-olive.svg	88,500	70.15%	0.52%
465	Faith Hill	/wiki/Faith_Hill				Symbol b class.svg									88,325	78.62%	0.13%
466	Victoria Arlen	/wiki/Victoria_Arlen						Symbol start class.svg		Symbol question.svg					88,287	82.29%	0.01%
467	Android version history	/wiki/Android_version_history											Padlock-silver.svg		88,251	50.06%	1.05%
468	Harry Potter (film series)	/wiki/Harry_Potter_(film_series)				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	88,161	61.56%	0.66%
469	Miss International 2017	/wiki/Miss_International_2017						Symbol start class.svg							88,147	59.58%	0.78%
470	2001 (Dr. Dre album)	/wiki/2001_(Dr._Dre_album)		Symbol support vote.svg											88,122	95.60%	0.07%
471	Myanmar	/wiki/Myanmar					Symbol c class.svg							Padlock-olive.svg	88,113	55.68%	1.17%
472	Jennifer Lawrence	/wiki/Jennifer_Lawrence	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	88,088	64.15%	0.60%
473	Bill Clinton	/wiki/Bill_Clinton	Featured article star.svg	Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	87,849	57.24%	0.39%
474	Atomic Blonde	/wiki/Atomic_Blonde					Symbol c class.svg								87,750	60.43%	0.74%
475	Marilyn Monroe	/wiki/Marilyn_Monroe	Featured article star.svg										Padlock-silver.svg		87,720	67.49%	0.71%
476	The Flash (2014 TV series)	/wiki/The_Flash_(2014_TV_series)					Symbol c class.svg						Padlock-silver.svg		87,570	44.86%	0.85%
477	Angelina Jolie	/wiki/Angelina_Jolie	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	87,369	68.34%	1.29%
478	Andy Kaufman	/wiki/Andy_Kaufman					Symbol c class.svg								87,361	71.35%	0.08%
479	Henry VIII of England	/wiki/Henry_VIII_of_England		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	87,277	66.75%	0.26%
480	Tesla, Inc.	/wiki/Tesla,_Inc.				Symbol b class.svg									86,993	52.98%	0.74%
481	Super Junior	/wiki/Super_Junior				Symbol b class.svg				Symbol question.svg					86,914	57.22%	0.33%
482	Effie Gray	/wiki/Effie_Gray				Symbol b class.svg									86,733	76.51%	0.03%
483	Aquaman (film)	/wiki/Aquaman_(film)						Symbol start class.svg							86,598	54.78%	0.47%
484	Soviet Union	/wiki/Soviet_Union				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	85,895	50.01%	0.74%
485	Jon Gruden	/wiki/Jon_Gruden					Symbol c class.svg	Symbol start class.svg					Padlock-silver.svg		85,854	70.44%	0.01%
486	[[2018 FIFA World Cup qualification ��� UEFA Second Round]]													85,844	33.78%	0.80%
487	Vincent van Gogh	/wiki/Vincent_van_Gogh	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	85,810	54.91%	0.48%
488	Lucifer (TV series)	/wiki/Lucifer_(TV_series)						Symbol start class.svg							85,686	45.75%	0.69%
489	Avril Lavigne	/wiki/Avril_Lavigne		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	85,681	73.65%	0.31%
490	Tim McGraw	/wiki/Tim_McGraw				Symbol b class.svg									85,637	79.42%	0.12%
491	Sadie Sink	/wiki/Sadie_Sink								Symbol question.svg					85,610	67.69%	0.19%
492	Kim Jong-un	/wiki/Kim_Jong-un				Symbol b class.svg							Padlock-silver.svg		85,596	61.75%	1.15%
493	James Franco	/wiki/James_Franco		Symbol support vote.svg											85,549	66.43%	0.41%
494	Murder on the Orient Express (1974 film)	/wiki/Murder_on_the_Orient_Express_(1974_film)				Symbol b class.svg									85,490	65.12%	0.14%
495	Tan Son Nhat International Airport	/wiki/Tan_Son_Nhat_International_Airport				Symbol b class.svg									85,419	4.83%	0.07%
496	Scientology	/wiki/Scientology					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	85,337	75.04%	0.35%
497	Alprazolam	/wiki/Alprazolam		Symbol support vote.svg											85,303	64.27%	0.57%
498	UFC Fight Night: Bisping vs. Gastelum	/wiki/UFC_Fight_Night:_Bisping_vs._Gastelum							Symbol stub class.svg						85,264	54.31%	0.26%
499	Ozzy Osbourne	/wiki/Ozzy_Osbourne				Symbol b class.svg								Padlock-olive.svg	85,180	73.94%	0.15%
500	Rachel McAdams	/wiki/Rachel_McAdams		Symbol support vote.svg											85,131	66.96%	0.35%
501	Impeachment of Bill Clinton	/wiki/Impeachment_of_Bill_Clinton					Symbol c class.svg								85,059	71.89%	0.08%
502	Charlotte Flair	/wiki/Charlotte_Flair					Symbol c class.svg	Symbol start class.svg		Symbol question.svg					84,909	74.95%	0.78%
503	Tom Hiddleston	/wiki/Tom_Hiddleston		Symbol support vote.svg									Padlock-silver.svg		84,853	67.52%	0.53%
504	Neymar	/wiki/Neymar					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	84,836	67.37%	2.36%
505	Standard deviation	/wiki/Standard_deviation				Symbol b class.svg	Symbol c class.svg								84,830	25.17%	0.64%
506	Internet access	/wiki/Internet_access					Symbol c class.svg								84,781	4.04%	0.24%
507	Roy Halladay	/wiki/Roy_Halladay				Symbol b class.svg								Padlock-olive.svg	84,765	66.28%	0.13%
508	Wonders of the World	/wiki/Wonders_of_the_World					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	84,701	64.37%	1.42%
509	List of Star Wars Rebels episodes	/wiki/List_of_Star_Wars_Rebels_episodes													84,665	33.85%	0.14%
510	Cryptocurrency	/wiki/Cryptocurrency					Symbol c class.svg								84,607	47.25%	1.18%
511	Emilia Clarke	/wiki/Emilia_Clarke					Symbol c class.svg								84,432	70.21%	0.69%
512	Brad Pitt	/wiki/Brad_Pitt	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	84,323	71.08%	0.74%
513	Association of Southeast Asian Nations	/wiki/Association_of_Southeast_Asian_Nations				Symbol b class.svg						Symbol unsupport vote.svg			84,254	60.04%	0.54%
514	Suicide Squad (film)	/wiki/Suicide_Squad_(film)					Symbol c class.svg						Padlock-silver.svg		84,149	58.12%	0.77%
515	Ten Commandments	/wiki/Ten_Commandments				Symbol b class.svg							Padlock-silver.svg		84,022	67.09%	0.64%
516	American Civil War	/wiki/American_Civil_War				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	83,943	50.78%	0.40%
517	Jackie Robinson	/wiki/Jackie_Robinson	Featured article star.svg										Padlock-silver.svg		83,799	79.59%	0.04%
518	Owen Wilson	/wiki/Owen_Wilson					Symbol c class.svg						Padlock-silver-light.svg		83,597	74.51%	0.30%
519	George H. W. Bush	/wiki/George_H._W._Bush					Symbol c class.svg	Symbol start class.svg				Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	83,593	55.71%	0.38%
520	Pakistan	/wiki/Pakistan				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	83,506	55.59%	3.23%
520	The Good Place	/wiki/The_Good_Place					Symbol c class.svg								83,506	51.21%	0.12%
522	UFC 217	/wiki/UFC_217							Symbol stub class.svg						83,463	59.24%	0.39%
523	Macaulay Culkin	/wiki/Macaulay_Culkin					Symbol c class.svg						Padlock-silver.svg		83,442	72.68%	0.50%
524	Baby Driver	/wiki/Baby_Driver					Symbol c class.svg								83,379	59.66%	0.69%
525	Peru national football team	/wiki/Peru_national_football_team	Featured article star.svg												83,256	47.76%	0.55%
526	Apple Inc.	/wiki/Apple_Inc.				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg		83,165	45.90%	1.26%
527	Miss Universe 2017	/wiki/Miss_Universe_2017						Symbol start class.svg					Padlock-silver.svg		83,126	66.38%	1.12%
528	Liam Miller	/wiki/Liam_Miller		Symbol support vote.svg											82,977	72.88%	0.21%
529	Tom Sizemore	/wiki/Tom_Sizemore						Symbol start class.svg							82,802	59.81%	0.10%
530	2017 Grand Slam of Darts	/wiki/2017_Grand_Slam_of_Darts													82,534	51.20%	0.02%
531	Solo (2017 film)	/wiki/Solo_(2017_film)						Symbol start class.svg							82,370	69.32%	1.11%
532	United Arab Emirates	/wiki/United_Arab_Emirates				Symbol b class.svg	Symbol c class.svg								82,346	50.71%	1.30%
533	Aramm	/wiki/Aramm							Symbol stub class.svg						82,335	68.62%	0.77%
534	Alex Azar	/wiki/Alex_Azar							Symbol stub class.svg						82,241	47.40%	0.33%
535	Lebanon	/wiki/Lebanon				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg		82,102	55.39%	1.70%
536	Julius Caesar	/wiki/Julius_Caesar				Symbol b class.svg					Featured article star - cross.svg		Padlock-silver.svg		81,921	55.17%	0.60%
537	Walt Disney	/wiki/Walt_Disney	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	81,801	60.10%	0.39%
538	Generation Z	/wiki/Generation_Z						Symbol start class.svg							81,708	49.32%	0.19%
539	Lenny Kravitz	/wiki/Lenny_Kravitz				Symbol b class.svg									81,639	74.20%	0.47%
540	Blake Lively	/wiki/Blake_Lively				Symbol b class.svg							Padlock-silver.svg		81,631	74.03%	0.55%
541	Jeepers Creepers 3	/wiki/Jeepers_Creepers_3						Symbol start class.svg							81,629	71.77%	0.61%
542	Vietnam	/wiki/Vietnam					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	81,593	49.41%	0.66%
543	Jack Ma	/wiki/Jack_Ma					Symbol c class.svg								81,591	55.68%	0.98%
544	Emma Watson	/wiki/Emma_Watson	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	81,574	68.60%	0.90%
545	London	/wiki/London		Symbol support vote.svg									Padlock-silver.svg		81,459	47.54%	1.02%
546	Priyanka Chopra	/wiki/Priyanka_Chopra	Featured article star.svg										Padlock-silver.svg		81,359	75.27%	1.91%
547	George Washington	/wiki/George_Washington		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	81,201	47.98%	0.42%
548	Brian Johnson	/wiki/Brian_Johnson					Symbol c class.svg								81,114	64.10%	0.13%
549	September 11 attacks	/wiki/September_11_attacks		Symbol support vote.svg						Symbol question.svg	Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	81,067	53.73%	0.85%
550	Ellen Page	/wiki/Ellen_Page					Symbol c class.svg						Padlock-silver.svg		81,039	62.15%	0.31%
551	The Beatles	/wiki/The_Beatles	Featured article star.svg								Featured article star - cross.svg		Padlock-silver.svg		80,995	48.42%	0.40%
552	Black Mirror	/wiki/Black_Mirror					Symbol c class.svg								80,986	47.00%	0.28%
553	Muhammad Ali	/wiki/Muhammad_Ali				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		80,971	61.87%	1.00%
554	Audrey Hepburn	/wiki/Audrey_Hepburn				Symbol b class.svg									80,961	66.81%	0.34%
555	Richard Speck	/wiki/Richard_Speck				Symbol b class.svg									80,934	75.63%	0.10%
556	Westworld (TV series)	/wiki/Westworld_(TV_series)					Symbol c class.svg								80,579	48.74%	0.31%
557	Andalusia	/wiki/Andalusia					Symbol c class.svg								80,546	7.91%	0.08%
558	Logan Lucky	/wiki/Logan_Lucky						Symbol start class.svg							80,448	48.33%	0.63%
559	Website	/wiki/Website					Symbol c class.svg								80,439	86.33%	0.54%
560	Bon Scott	/wiki/Bon_Scott					Symbol c class.svg					Symbol unsupport vote.svg			80,370	64.45%	0.12%
561	Giannis Antetokounmpo	/wiki/Giannis_Antetokounmpo						Symbol start class.svg					Padlock-silver.svg		80,365	70.76%	0.40%
562	Hong Kong	/wiki/Hong_Kong		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	80,329	49.79%	0.89%
563	Sexual intercourse	/wiki/Sexual_intercourse				Symbol b class.svg							Padlock-silver.svg		80,266	74.14%	5.87%
564	Elizabeth Olsen	/wiki/Elizabeth_Olsen					Symbol c class.svg								80,004	71.28%	0.40%
565	Jordan Fisher	/wiki/Jordan_Fisher						Symbol start class.svg							79,788	80.77%	0.04%
566	List of Knowing Bros episodes	/wiki/List_of_Knowing_Bros_episodes													79,744	39.70%	0.26%
567	Lady Gaga	/wiki/Lady_Gaga		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	79,590	63.15%	0.58%
568	Seven deadly sins	/wiki/Seven_deadly_sins					Symbol c class.svg								79,579	62.87%	0.46%
569	Vikas Gupta (producer)	/wiki/Vikas_Gupta_(producer)								Symbol question.svg			Padlock-silver.svg		79,529	84.17%	0.50%
570	Stan Lee	/wiki/Stan_Lee					Symbol c class.svg			Symbol question.svg			Padlock-silver.svg		79,444	73.74%	0.43%
571	Franklin D. Roosevelt	/wiki/Franklin_D._Roosevelt				Symbol b class.svg					Featured article star - cross.svg		Padlock-silver.svg		79,256	53.17%	0.36%
572	Theeran Adhigaaram Ondru	/wiki/Theeran_Adhigaaram_Ondru						Symbol start class.svg							79,228	73.72%	0.93%
573	Clint Eastwood	/wiki/Clint_Eastwood		Symbol support vote.svg									Padlock-silver-light.svg		79,112	71.65%	0.37%
574	A. P. J. Abdul Kalam	/wiki/A._P._J._Abdul_Kalam		Symbol support vote.svg									Padlock-silver.svg		79,079	76.88%	0.41%
575	How to Get Away with Murder	/wiki/How_to_Get_Away_with_Murder						Symbol start class.svg							78,875	53.38%	0.73%
576	Thor: The Dark World	/wiki/Thor:_The_Dark_World		Symbol support vote.svg											78,871	61.44%	0.62%
577	List of South Park episodes	/wiki/List_of_South_Park_episodes											Padlock-silver.svg		78,828	31.33%	0.15%
578	International Standard Book Number	/wiki/International_Standard_Book_Number					Symbol c class.svg						Padlock-silver.svg		78,806	45.45%	0.64%
579	Christian Bale	/wiki/Christian_Bale				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg		78,767	64.31%	0.57%
580	Italy	/wiki/Italy				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	78,671	46.95%	1.07%
581	George V	/wiki/George_V	Featured article star.svg										Padlock-silver.svg		78,649	65.54%	0.39%
582	Bobby Doerr	/wiki/Bobby_Doerr					Symbol c class.svg								78,594	40.74%	0.40%
583	Brian David Mitchell	/wiki/Brian_David_Mitchell					Symbol c class.svg								78,526	88.83%	0.04%
584	Indonesia	/wiki/Indonesia				Symbol b class.svg					Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	78,393	49.21%	0.88%
585	North Korea	/wiki/North_Korea				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	78,337	51.69%	0.99%
586	Jessica Biel	/wiki/Jessica_Biel					Symbol c class.svg						Padlock-silver-light.svg		78,314	75.76%	0.32%
587	Prince (musician)	/wiki/Prince_(musician)				Symbol b class.svg									78,294	52.85%	0.31%
588	Case Keenum	/wiki/Case_Keenum					Symbol c class.svg	Symbol start class.svg							78,265	78.06%	0.04%
589	Hela (comics)	/wiki/Hela_(comics)						Symbol start class.svg							78,256	63.63%	0.49%
590	Liam Hemsworth	/wiki/Liam_Hemsworth					Symbol c class.svg						Padlock-silver.svg		78,238	77.02%	0.60%
591	Sutherland Springs church shooting	/wiki/Sutherland_Springs_church_shooting					Symbol c class.svg								78,163	44.88%	0.68%
592	Halsey (singer)	/wiki/Halsey_(singer)						Symbol start class.svg		Symbol question.svg			Padlock-silver-light.svg		78,133	71.45%	0.22%
593	[[Lali Esp��sito]]													78,108	1.36%	0.02%
594	Debbie McGee	/wiki/Debbie_McGee						Symbol start class.svg							77,939	89.18%	0.07%
595	Hina Khan (actress)	/wiki/Hina_Khan_(actress)							Symbol stub class.svg				Padlock-silver.svg		77,755	84.27%	0.84%
596	Amy Adams	/wiki/Amy_Adams	Featured article star.svg										Padlock-silver.svg		77,750	65.68%	0.54%
597	Mariah Carey	/wiki/Mariah_Carey	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	77,742	66.44%	0.74%
598	George W. Bush	/wiki/George_W._Bush		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	77,638	55.23%	0.56%
599	Leslie Abramson	/wiki/Leslie_Abramson							Symbol stub class.svg						77,624	82.18%	0.13%
600	Andy Warhol	/wiki/Andy_Warhol				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	77,524	63.75%	0.25%
601	Roger Goodell	/wiki/Roger_Goodell					Symbol c class.svg						Padlock-silver.svg		77,484	63.77%	0.07%
602	Goods and Services Tax (India)	/wiki/Goods_and_Services_Tax_(India)					Symbol c class.svg								77,462	68.16%	0.08%
603	Ashton Kutcher	/wiki/Ashton_Kutcher					Symbol c class.svg						Padlock-silver.svg		77,442	74.03%	0.46%
604	Rick and Morty	/wiki/Rick_and_Morty					Symbol c class.svg						Padlock-silver.svg		77,330	47.89%	0.31%
605	Happy Death Day	/wiki/Happy_Death_Day						Symbol start class.svg							77,276	61.58%	0.51%
606	List of Outlander episodes	/wiki/List_of_Outlander_episodes													77,214	58.99%	0.23%
607	Korean War	/wiki/Korean_War				Symbol b class.svg							Padlock-silver.svg		77,161	52.92%	0.36%
608	Demi Moore	/wiki/Demi_Moore				Symbol b class.svg									77,142	72.66%	0.60%
609	Princess Margaret, Countess of Snowdon	/wiki/Princess_Margaret,_Countess_of_Snowdon				Symbol b class.svg									77,096	74.11%	0.29%
610	Bona Mugabe	/wiki/Bona_Mugabe							Symbol stub class.svg						76,906	53.77%	3.20%
611	Netherlands	/wiki/Netherlands				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	76,905	44.92%	0.78%
612	Anthony Rapp	/wiki/Anthony_Rapp						Symbol start class.svg							76,867	58.58%	0.35%
613	Nicole Kidman	/wiki/Nicole_Kidman				Symbol b class.svg									76,749	71.25%	0.53%
614	Lacey Chabert	/wiki/Lacey_Chabert				Symbol b class.svg									76,637	81.97%	0.08%
615	List of countries by GDP (nominal)	/wiki/List_of_countries_by_GDP_(nominal)											Padlock-silver.svg		76,566	43.16%	0.87%
616	Sarah Silverman	/wiki/Sarah_Silverman				Symbol b class.svg								Padlock-olive.svg	76,540	64.71%	0.16%
617	Edward Snowden	/wiki/Edward_Snowden				Symbol b class.svg							Padlock-silver.svg		76,523	59.42%	0.57%
618	Grace Jones	/wiki/Grace_Jones				Symbol b class.svg							Padlock-silver.svg		76,475	83.97%	0.24%
619	O. J. Simpson	/wiki/O._J._Simpson				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	76,451	69.65%	0.64%
620	List of Super Bowl champions	/wiki/List_of_Super_Bowl_champions	Featured article star.svg										Padlock-silver.svg		76,440	71.64%	0.09%
621	2018 Winter Olympics	/wiki/2018_Winter_Olympics					Symbol c class.svg								76,412	63.23%	0.16%
622	X-Men (film series)	/wiki/X-Men_(film_series)		Symbol support vote.svg											76,372	50.83%	0.80%
623	Legionnaires' disease	/wiki/Legionnaires%27_disease				Symbol b class.svg									76,315	72.25%	0.13%
624	Monica Lewinsky	/wiki/Monica_Lewinsky				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	76,314	67.69%	0.27%
625	Robin Williams	/wiki/Robin_Williams				Symbol b class.svg									76,141	63.68%	0.46%
626	Anthony Joshua	/wiki/Anthony_Joshua					Symbol c class.svg								76,133	64.23%	1.82%
627	Jonathan Groff	/wiki/Jonathan_Groff						Symbol start class.svg							76,125	69.83%	0.11%
628	Once Upon a Time (season 7)	/wiki/Once_Upon_a_Time_(season_7)						Symbol start class.svg							76,117	61.27%	0.33%
629	[[Ragnar��k]]													76,063	61.84%	0.57%
630	Nathan Peterman	/wiki/Nathan_Peterman						Symbol start class.svg		Symbol question.svg					76,042	66.39%	0.05%
631	Star Wars: The Force Awakens	/wiki/Star_Wars:_The_Force_Awakens				Symbol b class.svg								Padlock-olive.svg	75,971	53.72%	0.43%
632	Salman Khan	/wiki/Salman_Khan					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	75,943	75.48%	2.52%
633	Friends	/wiki/Friends		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	75,936	61.48%	0.58%
634	John Lennon	/wiki/John_Lennon	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	75,932	60.02%	0.45%
635	Coconut crab	/wiki/Coconut_crab		Symbol support vote.svg							Featured article star - cross.svg				75,891	63.01%	0.13%
636	Nelson Mandela	/wiki/Nelson_Mandela	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	75,888	53.10%	1.91%
637	Sweden	/wiki/Sweden					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	75,861	40.69%	0.70%
638	Bernie Sanders	/wiki/Bernie_Sanders				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	75,809	19.93%	0.10%
639	Larry David	/wiki/Larry_David		Symbol support vote.svg											75,783	72.92%	0.08%
640	Are You the One?	/wiki/Are_You_the_One%3F						Symbol start class.svg							75,755	74.71%	0.57%
641	Iran	/wiki/Iran				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		75,751	48.26%	1.17%
642	2017 Las Vegas shooting	/wiki/2017_Las_Vegas_shooting					Symbol c class.svg						Padlock-silver.svg		75,548	43.76%	0.17%
643	Call of Duty	/wiki/Call_of_Duty					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	75,400	50.94%	0.50%
644	The Shannara Chronicles	/wiki/The_Shannara_Chronicles						Symbol start class.svg							75,372	47.50%	1.32%
645	Napoleon	/wiki/Napoleon		Symbol support vote.svg	Symbol a class.svg								Padlock-silver.svg	Padlock-olive.svg	75,312	48.76%	0.56%
646	Persimmon	/wiki/Persimmon					Symbol c class.svg								75,295	69.47%	0.31%
647	Greta Gerwig	/wiki/Greta_Gerwig					Symbol c class.svg								75,275	60.69%	0.07%
648	Natalie Portman	/wiki/Natalie_Portman					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver-light.svg		75,247	69.19%	0.52%
649	Jack Nicholson	/wiki/Jack_Nicholson					Symbol c class.svg							Padlock-olive.svg	75,218	53.68%	0.28%
650	RMS Titanic	/wiki/RMS_Titanic				Symbol b class.svg					Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	75,167	60.33%	1.26%
651	Kristen Bell	/wiki/Kristen_Bell		Symbol support vote.svg											75,097	69.10%	0.40%
652	Danny DeVito	/wiki/Danny_DeVito					Symbol c class.svg						Padlock-silver-light.svg		75,081	73.59%	0.11%
653	Children in Need	/wiki/Children_in_Need						Symbol start class.svg							75,053	71.85%	0.01%
654	2018 FIFA World Cup qualification (inter-confederation play-offs)	/wiki/2018_FIFA_World_Cup_qualification_(inter-confederation_play-offs)						Symbol start class.svg							75,023	42.04%	0.91%
655	Dubai	/wiki/Dubai					Symbol c class.svg					Symbol unsupport vote.svg			74,979	51.92%	1.46%
656	Cleopatra	/wiki/Cleopatra					Symbol c class.svg	Symbol start class.svg					Padlock-silver.svg		74,913	62.61%	0.62%
657	Heath Ledger	/wiki/Heath_Ledger				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	74,900	71.74%	0.81%
658	United States presidential election, 2016	/wiki/United_States_presidential_election,_2016				Symbol b class.svg							Padlock-silver.svg		74,881	37.31%	0.21%
659	Pok??mon the Movie: I Choose You!	/w/index.php?title=Pok%3F%3Fmon_the_Movie:_I_Choose_You!&action=edit&redlink=1													74,854	50.49%	0.14%
660	Quentin Tarantino	/wiki/Quentin_Tarantino					Symbol c class.svg								74,804	60.61%	0.34%
661	California	/wiki/California				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	74,765	52.43%	0.72%
662	Jake Paul	/wiki/Jake_Paul						Symbol start class.svg	Symbol stub class.svg				Padlock-blue.svg		74,759	59.58%	0.31%
663	[[2017���18 Indian Super League season]]													74,753	78.88%	2.31%
664	The Blacklist (TV series)	/wiki/The_Blacklist_(TV_series)					Symbol c class.svg								74,725	47.83%	0.86%
665	Guy Fawkes	/wiki/Guy_Fawkes	Featured article star.svg										Padlock-silver.svg		74,570	71.75%	0.21%
666	Ivanka Trump	/wiki/Ivanka_Trump					Symbol c class.svg						Padlock-silver.svg		74,566	72.06%	0.60%
667	Edward VII	/wiki/Edward_VII	Featured article star.svg												74,512	66.83%	0.43%
668	Robert Downey Jr.	/wiki/Robert_Downey_Jr.		Symbol support vote.svg											74,493	67.90%	0.66%
669	Arrow (TV series)	/wiki/Arrow_(TV_series)					Symbol c class.svg								74,331	44.48%	0.87%
670	Christopher Columbus	/wiki/Christopher_Columbus					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	74,321	52.61%	0.73%
671	Conor McGregor	/wiki/Conor_McGregor					Symbol c class.svg						Padlock-silver.svg		74,320	57.86%	0.47%
672	The Greatest Showman	/wiki/The_Greatest_Showman						Symbol start class.svg		Symbol question.svg					74,309	54.41%	0.29%
673	Jeff Goldblum	/wiki/Jeff_Goldblum						Symbol start class.svg					Padlock-silver.svg		74,232	66.25%	0.34%
674	Illuminati	/wiki/Illuminati					Symbol c class.svg						Padlock-silver.svg		74,230	64.91%	1.78%
675	Sia (musician)	/wiki/Sia_(musician)					Symbol c class.svg						Padlock-silver.svg		74,128	60.74%	1.19%
676	3 Musketeers (chocolate bar)	/wiki/3_Musketeers_(chocolate_bar)						Symbol start class.svg							74,122	16.73%	0.02%
677	Autonomous communities of Spain	/wiki/Autonomous_communities_of_Spain					Symbol c class.svg								74,121	3.98%	0.06%
678	Zayn Malik	/wiki/Zayn_Malik					Symbol c class.svg						Padlock-silver.svg		74,060	64.99%	1.34%
679	Seth MacFarlane	/wiki/Seth_MacFarlane		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	74,052	66.61%	0.31%
680	David Cassidy	/wiki/David_Cassidy						Symbol start class.svg					Padlock-silver-light.svg		73,995	65.04%	0.04%
681	People (magazine)	/wiki/People_(magazine)					Symbol c class.svg							Padlock-olive.svg	73,972	67.80%	0.20%
682	Danny Masterson	/wiki/Danny_Masterson						Symbol start class.svg							73,962	69.30%	0.09%
683	Stephen Curry	/wiki/Stephen_Curry				Symbol b class.svg							Padlock-silver.svg		73,873	64.26%	0.56%
684	Snoop Dogg	/wiki/Snoop_Dogg					Symbol c class.svg			Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	73,735	69.95%	0.92%
685	List of Supergirl episodes	/wiki/List_of_Supergirl_episodes													73,698	39.35%	0.74%
686	Triple H	/wiki/Triple_H		Symbol support vote.svg									Padlock-silver.svg		73,664	70.13%	1.25%
687	Kanye West	/wiki/Kanye_West		Symbol support vote.svg									Padlock-silver.svg		73,608	58.90%	1.12%
688	Poland	/wiki/Poland				Symbol b class.svg							Padlock-silver.svg		73,589	44.46%	0.73%
689	Jesus	/wiki/Jesus	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	73,564	58.28%	1.40%
690	List of United States cities by population	/wiki/List_of_United_States_cities_by_population	Featured article star.svg										Padlock-silver.svg		73,474	52.58%	0.88%
691	Saoirse Ronan	/wiki/Saoirse_Ronan					Symbol c class.svg								73,455	56.16%	0.20%
692	Matthew McConaughey	/wiki/Matthew_McConaughey				Symbol b class.svg									73,405	75.52%	0.39%
693	Emma Stone	/wiki/Emma_Stone	Featured article star.svg										Padlock-silver.svg		73,382	70.30%	0.49%
694	Shaquille O'Neal	/wiki/Shaquille_O%27Neal				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	73,318	67.69%	0.39%
695	Rogue One	/wiki/Rogue_One					Symbol c class.svg								73,310	59.14%	0.31%
