Article_Name,1,2,3,4,5,6,7,8,9,10
Nikola Tesla - Wikipedia.txt,1497,2742,2709,2384,2371,1941,1538,1344,984,1804
Franz Kafka - Wikipedia.txt,1671,1828,2215,2015,2225,1867,1403,1106,874,1571
Virgil - Wikipedia.txt,812,849,898,661,592,690,552,500,366,599
Murasaki Shikibu - Wikipedia.txt,706,1139,1304,1030,899,596,700,710,382,614
Hammurabi - Wikipedia.txt,579,575,673,471,379,261,358,231,212,424
Alan Turing - Wikipedia.txt,813,2296,2403,2166,1333,1749,1237,1103,877,1419
Vincent van Gogh - Wikipedia.txt,1435,2282,3027,2719,1714,1479,1464,1065,746,1174
Herodotus - Wikipedia.txt,824,1308,1299,1132,895,762,741,556,715,962
René Descartes - Wikipedia.txt,1301,1717,1530,1290,1031,974,987,839,955,1605
Charles Darwin - Wikipedia.txt,1225,2362,2263,1879,1430,1803,1715,993,1056,1644
William Shakespeare - Wikipedia.txt,3607,2134,2566,2565,2426,1705,1651,1160,790,1822
Napoleon - Wikipedia.txt,3337,4086,4083,2846,2475,2781,2433,2304,1564,2298
Mathematics - Wikipedia.txt,682,1236,1058,919,691,595,720,602,397,1269
Alfred Hitchcock - Wikipedia.txt,1006,1934,2455,2223,2013,1701,1218,1055,1091,1144
Johann Sebastian Bach - Wikipedia.txt,1414,2388,3041,2443,2014,1526,1268,1211,959,1614
Division (mathematics) - Wikipedia.txt,1373,800,466,371,195,192,271,301,167,335
Shape - Wikipedia.txt,408,415,282,200,190,140,137,89,95,207
Virginia Woolf - Wikipedia.txt,1552,1349,1319,1043,1122,737,794,681,374,720
Kurt Gödel - Wikipedia.txt,1230,811,807,1025,750,846,634,509,442,834
Abraham - Wikipedia.txt,691,1129,1368,894,915,690,734,473,363,618
nth root - Wikipedia.txt,2908,1279,690,516,379,289,242,172,126,426
Algebra - Wikipedia.txt,775,924,840,559,405,379,595,409,305,646
Ibn Battuta - Wikipedia.txt,1061,1754,1911,1722,1294,942,1112,635,588,844
Winston Churchill - Wikipedia.txt,3355,4762,5107,3976,3322,3094,3291,2378,2315,3129
Claude Monet - Wikipedia.txt,1072,932,995,790,843,712,546,413,343,499
Arithmetic - Wikipedia.txt,348,703,736,446,384,342,412,340,233,570
Igor Stravinsky - Wikipedia.txt,886,1538,1650,1489,1278,1078,975,733,615,1453
James Joyce - Wikipedia.txt,475,1311,1335,1237,1140,810,793,589,428,636
Akira Kurosawa - Wikipedia.txt,1682,1971,2523,2151,2091,1477,1368,1448,985,1362
Joan of Arc - Wikipedia.txt,869,2122,2213,1747,1301,1114,1220,882,643,1033
Frédéric Chopin - Wikipedia.txt,1241,2435,2176,1695,1631,1484,1265,1112,753,1186
Muhammad - Wikipedia.txt,3190,3158,3484,2664,2441,2130,1938,1754,1363,1963
Sophocles - Wikipedia.txt,654,685,700,526,462,363,490,346,373,505
Ferdinand Magellan - Wikipedia.txt,380,936,1011,824,686,508,576,496,341,520
Moses - Wikipedia.txt,1246,2006,2356,1612,1562,1285,1158,905,668,1097
Richard Wagner - Wikipedia.txt,810,1999,2301,1889,1582,1548,1297,985,793,1457
Limit (mathematics) - Wikipedia.txt,1025,520,232,176,200,114,87,116,66,192
Jabir ibn Hayyan - Wikipedia.txt,647,927,1095,769,767,575,646,508,408,736
Niels Bohr - Wikipedia.txt,886,1313,1350,1643,1077,990,955,661,655,1033
Trigonometry - Wikipedia.txt,1130,791,562,388,319,232,251,229,207,491
Elizabeth I of England - Wikipedia.txt,2454,2680,2545,1754,1440,1320,1157,913,841,1061
Set (mathematics) - Wikipedia.txt,1376,779,693,354,250,201,283,192,151,332
Mao Zedong - Wikipedia.txt,1991,3471,4420,3534,2677,2533,2333,1925,1546,2449
Louis Pasteur - Wikipedia.txt,722,1492,1464,1235,1027,806,1263,734,587,1145
Thomas Edison - Wikipedia.txt,1157,1867,1887,1705,1382,1700,1261,1057,753,1244
Complex number - Wikipedia.txt,5037,3045,1549,1081,779,632,1016,635,451,1178
Pierre-Simon Laplace - Wikipedia.txt,1501,2220,1949,1495,1140,885,1190,837,709,1347
Hatshepsut - Wikipedia.txt,1408,1282,1599,1172,1004,700,788,636,457,908
Polyhedron - Wikipedia.txt,842,1172,1122,956,683,566,644,551,533,1104
Qin Shi Huang - Wikipedia.txt,803,1485,1975,1350,1156,748,839,518,447,774
Archimedes - Wikipedia.txt,1043,1533,1276,1053,855,690,672,644,492,1149
James Clerk Maxwell - Wikipedia.txt,524,1363,1396,996,979,702,822,664,511,900
Algorithm - Wikipedia.txt,970,2321,2013,1589,1114,1037,1250,862,797,1640
Edgar Allan Poe - Wikipedia.txt,938,1259,1626,1251,1401,981,795,686,569,837
Angle - Wikipedia.txt,1088,1260,1005,648,689,574,443,400,237,498
Louis Armstrong - Wikipedia.txt,882,1742,2191,1949,1633,1098,1037,705,830,937
Vladimir Lenin - Wikipedia.txt,1763,2808,3284,4461,2936,2276,2377,1732,1552,3127
Hokusai - Wikipedia.txt,430,581,609,559,420,370,376,276,178,314
Isaac Newton - Wikipedia.txt,1558,2285,2171,1727,1573,1584,1502,1022,872,1689
Leonhard Euler - Wikipedia.txt,1128,1282,1115,754,806,690,654,619,414,969
Aristotle - Wikipedia.txt,2092,2625,2354,1911,1654,1630,1615,1189,1290,2177
Simón Bolívar - Wikipedia.txt,1852,2171,1634,1284,1187,957,1255,949,777,994
Exponentiation - Wikipedia.txt,4724,3037,1732,1193,832,743,756,686,459,1057
Immanuel Kant - Wikipedia.txt,2578,3304,2997,2622,2226,2009,2038,1807,1529,3295
Sigmund Freud - Wikipedia.txt,1577,3266,3633,2665,2544,2065,1940,1594,1329,2872
Genghis Khan - Wikipedia.txt,998,1792,2458,1970,1374,1434,1675,1007,741,977
Leo Tolstoy - Wikipedia.txt,948,1024,1209,919,810,692,868,631,510,903
James Cook - Wikipedia.txt,992,1292,1423,1294,1206,983,945,680,592,840
Homer - Wikipedia.txt,1133,662,774,711,757,575,665,448,425,835
Ludwig van Beethoven - Wikipedia.txt,641,1393,1687,1248,1004,897,782,635,646,897
Mathematical optimization - Wikipedia.txt,1094,1028,792,603,478,519,584,540,465,1226
Wolfgang Amadeus Mozart - Wikipedia.txt,554,1127,1324,993,879,968,774,583,454,726
Henry Ford - Wikipedia.txt,910,1576,1961,1977,1350,972,1060,830,551,1040
Johannes Gutenberg - Wikipedia.txt,318,773,860,719,523,431,408,409,314,516
Subtraction - Wikipedia.txt,890,696,498,384,275,207,232,208,90,373
Thomas Aquinas - Wikipedia.txt,1812,2967,2542,1928,1705,1822,1770,1300,1077,1972
Number - Wikipedia.txt,973,1229,1130,807,609,593,799,575,327,767
Suleiman the Magnificent - Wikipedia.txt,778,1331,1566,1089,958,932,957,709,501,745
Benjamin Franklin - Wikipedia.txt,2663,3526,3367,2560,2130,2003,2074,2436,1314,2209
Line (geometry) - Wikipedia.txt,1492,978,643,497,417,290,246,230,202,387
Real number - Wikipedia.txt,682,899,860,700,478,362,522,385,228,578
Roald Amundsen - Wikipedia.txt,901,628,811,717,609,448,466,446,305,501
Marco Polo - Wikipedia.txt,524,1271,1311,1413,1155,688,775,616,392,671
Pythagoras - Wikipedia.txt,1413,1258,1360,1196,771,679,738,681,526,1415
Addition - Wikipedia.txt,2371,1966,1427,978,730,610,719,736,375,963
Dmitri Mendeleev - Wikipedia.txt,899,882,852,604,630,525,545,478,453,708
