Article_Name,1,2,3,4,5
Akira Kurosawa - Wikipedia.txt,1682,1971,2523,2151,8731
Joan of Arc - Wikipedia.txt,869,2122,2213,1747,6193
Frédéric Chopin - Wikipedia.txt,1241,2435,2176,1695,7431
Muhammad - Wikipedia.txt,3190,3158,3484,2664,11589
Sophocles - Wikipedia.txt,654,685,700,526,2539
Ferdinand Magellan - Wikipedia.txt,380,936,1011,824,3127
Moses - Wikipedia.txt,1246,2006,2356,1612,6675
Richard Wagner - Wikipedia.txt,810,1999,2301,1889,7662
Limit (mathematics) - Wikipedia.txt,1025,520,232,176,775
Jabir ibn Hayyan - Wikipedia.txt,647,927,1095,769,3640
Niels Bohr - Wikipedia.txt,886,1313,1350,1643,5371
Trigonometry - Wikipedia.txt,1130,791,562,388,1729
Elizabeth I of England - Wikipedia.txt,2454,2680,2545,1754,6732
Set (mathematics) - Wikipedia.txt,1376,779,693,354,1409
Mao Zedong - Wikipedia.txt,1991,3471,4420,3534,13463
Louis Pasteur - Wikipedia.txt,722,1492,1464,1235,5562
Thomas Edison - Wikipedia.txt,1157,1867,1887,1705,7397
Complex number - Wikipedia.txt,5037,3045,1549,1081,4691
Pierre-Simon Laplace - Wikipedia.txt,1501,2220,1949,1495,6108
Hatshepsut - Wikipedia.txt,1408,1282,1599,1172,4493
Polyhedron - Wikipedia.txt,842,1172,1122,956,4081
Qin Shi Huang - Wikipedia.txt,803,1485,1975,1350,4482
Archimedes - Wikipedia.txt,1043,1533,1276,1053,4502
James Clerk Maxwell - Wikipedia.txt,524,1363,1396,996,4578
Algorithm - Wikipedia.txt,970,2321,2013,1589,6700
Edgar Allan Poe - Wikipedia.txt,938,1259,1626,1251,5269
Angle - Wikipedia.txt,1088,1260,1005,648,2841
Louis Armstrong - Wikipedia.txt,882,1742,2191,1949,6240
Vladimir Lenin - Wikipedia.txt,1763,2808,3284,4461,14000
Hokusai - Wikipedia.txt,430,581,609,559,1934
Isaac Newton - Wikipedia.txt,1558,2285,2171,1727,8242
Leonhard Euler - Wikipedia.txt,1128,1282,1115,754,4152
Aristotle - Wikipedia.txt,2092,2625,2354,1911,9555
Simón Bolívar - Wikipedia.txt,1852,2171,1634,1284,6119
Exponentiation - Wikipedia.txt,4724,3037,1732,1193,4533
Immanuel Kant - Wikipedia.txt,2578,3304,2997,2622,12904
Sigmund Freud - Wikipedia.txt,1577,3266,3633,2665,12344
Genghis Khan - Wikipedia.txt,998,1792,2458,1970,7208
Leo Tolstoy - Wikipedia.txt,948,1024,1209,919,4414
James Cook - Wikipedia.txt,992,1292,1423,1294,5246
Homer - Wikipedia.txt,1133,662,774,711,3705
Ludwig van Beethoven - Wikipedia.txt,641,1393,1687,1248,4861
Mathematical optimization - Wikipedia.txt,1094,1028,792,603,3812
Wolfgang Amadeus Mozart - Wikipedia.txt,554,1127,1324,993,4384
Henry Ford - Wikipedia.txt,910,1576,1961,1977,5803
