Article_Name,1,2,3,4,5,6,7
Obesity - Wikipedia.txt,1493,2086,1824,1628,1133,1387,5158
Gravity - Wikipedia.txt,1028,965,877,663,620,495,2337
Alcoholism - Wikipedia.txt,1369,2055,1758,1548,1130,1081,5304
School - Wikipedia.txt,368,526,551,455,381,408,1611
Crusades - Wikipedia.txt,1092,1759,2145,1532,1204,1160,4805
World War I - Wikipedia.txt,2066,4457,5867,3770,3212,3594,10548
Pharmaceutical drug - Wikipedia.txt,447,903,1026,718,625,483,2692
Kurt Gödel - Wikipedia.txt,1230,811,807,1025,750,846,2419
Egypt - Wikipedia.txt,2347,3127,3294,2618,2733,2305,7165
Algebra - Wikipedia.txt,775,924,840,559,405,379,1955
Electricity - Wikipedia.txt,819,1439,1256,1057,929,793,3330
Abacus - Wikipedia.txt,496,784,837,765,584,504,1530
Bicycle - Wikipedia.txt,1036,1286,1458,1445,1120,928,3366
Claude Monet - Wikipedia.txt,1072,932,995,790,843,712,1801
DNA - Wikipedia.txt,1452,2609,2658,1861,1344,1195,6029
Chemistry - Wikipedia.txt,695,1550,1365,1045,876,680,3460
Theatre - Wikipedia.txt,601,1347,1518,1228,914,764,3156
Nuclear power - Wikipedia.txt,1735,2832,2929,2570,2344,1947,8081
Aztec - Wikipedia.txt,800,1996,2366,1578,1588,1331,4618
Inca Empire - Wikipedia.txt,1230,1358,1645,1551,1134,960,3305
Akira Kurosawa - Wikipedia.txt,1682,1971,2523,2151,2091,1477,5163
Silk Road - Wikipedia.txt,1154,1869,2483,2147,1766,1353,4530
Joan of Arc - Wikipedia.txt,869,2122,2213,1747,1301,1114,3778
Frédéric Chopin - Wikipedia.txt,1241,2435,2176,1695,1631,1484,4316
Buddhism - Wikipedia.txt,2608,3642,3708,3246,2739,2459,10161
Camera - Wikipedia.txt,791,1478,1570,1290,1190,1130,3097
Dance - Wikipedia.txt,734,818,828,710,872,605,1903
Agnosticism - Wikipedia.txt,1167,1420,1228,1027,697,693,2911
