Article_Name,1,2,3,4,5
Theatre - Wikipedia.txt,601,1347,1518,1228,4834
Nuclear power - Wikipedia.txt,1735,2832,2929,2570,12372
Aztec - Wikipedia.txt,800,1996,2366,1578,7537
Inca Empire - Wikipedia.txt,1230,1358,1645,1551,5399
Akira Kurosawa - Wikipedia.txt,1682,1971,2523,2151,8731
Silk Road - Wikipedia.txt,1154,1869,2483,2147,7649
Joan of Arc - Wikipedia.txt,869,2122,2213,1747,6193
Frédéric Chopin - Wikipedia.txt,1241,2435,2176,1695,7431
Buddhism - Wikipedia.txt,2608,3642,3708,3246,15359
Camera - Wikipedia.txt,791,1478,1570,1290,5417
Dance - Wikipedia.txt,734,818,828,710,3380
Agnosticism - Wikipedia.txt,1167,1420,1228,1027,4301
Galaxy - Wikipedia.txt,985,1507,1591,1269,5657
Soviet Union - Wikipedia.txt,2287,2641,3428,2327,12074
Moon landing - Wikipedia.txt,1493,1600,1538,1558,6783
Limit (mathematics) - Wikipedia.txt,1025,520,232,176,775
Dictatorship - Wikipedia.txt,394,432,374,337,1753
Monarchy - Wikipedia.txt,860,1053,891,621,3484
Mobile phone - Wikipedia.txt,901,1023,1016,946,4238
Jewellery - Wikipedia.txt,1043,1468,1618,1615,5833
Video game - Wikipedia.txt,946,1700,1714,1778,6363
Journalism - Wikipedia.txt,401,645,554,481,2323
Trigonometry - Wikipedia.txt,1130,791,562,388,1729
Dog - Wikipedia.txt,2866,1925,2264,2290,8788
Hospital - Wikipedia.txt,482,1357,1396,1090,4664
Anatomy - Wikipedia.txt,900,1141,1401,1057,4784
Atheism - Wikipedia.txt,2355,2664,2578,2107,10140
Ecology - Wikipedia.txt,2252,2650,2624,1960,11451
Genetics - Wikipedia.txt,1101,1405,1403,1069,5328
Film - Wikipedia.txt,768,1380,1300,1396,4792
Qin Shi Huang - Wikipedia.txt,803,1485,1975,1350,4482
Women's suffrage - Wikipedia.txt,1831,2955,3257,2414,11584
Anthropology - Wikipedia.txt,1339,1638,1520,1140,7097
Archimedes - Wikipedia.txt,1043,1533,1276,1053,4502
Algorithm - Wikipedia.txt,970,2321,2013,1589,6700
Louis Armstrong - Wikipedia.txt,882,1742,2191,1949,6240
Car - Wikipedia.txt,1069,1046,1380,1234,4898
Universe - Wikipedia.txt,1436,2041,2275,1623,7306
Botany - Wikipedia.txt,1427,1877,1823,1620,8342
New York City - Wikipedia.txt,2727,4539,6116,5401,18249
World War II - Wikipedia.txt,1640,3017,3941,2927,13995
Confucianism - Wikipedia.txt,1742,1760,1764,1315,6517
Isaac Newton - Wikipedia.txt,1558,2285,2171,1727,8242
Han dynasty - Wikipedia.txt,1352,2425,3193,2469,9566
Milk - Wikipedia.txt,1661,2682,2447,2444,8154
Aristotle - Wikipedia.txt,2092,2625,2354,1911,9555
Judaism - Wikipedia.txt,1753,3139,3729,2635,11604
Renaissance - Wikipedia.txt,846,1914,2235,1455,7054
Rome - Wikipedia.txt,1956,2975,3733,2871,10855
South Korea - Wikipedia.txt,2361,3522,3842,2975,14573
Atom - Wikipedia.txt,1022,1919,1729,1576,6624
Bronze Age - Wikipedia.txt,954,1512,1965,1407,5771
Tax - Wikipedia.txt,947,2320,2491,1783,7408
Quantum mechanics - Wikipedia.txt,2000,2254,1689,1298,7293
Classical music - Wikipedia.txt,1044,1310,1576,1237,6209
Homer - Wikipedia.txt,1133,662,774,711,3705
Italy - Wikipedia.txt,2282,3423,3962,2518,14312
Mathematical optimization - Wikipedia.txt,1094,1028,792,603,3812
United Kingdom - Wikipedia.txt,2922,4954,5410,3698,18360
Classical mechanics - Wikipedia.txt,1537,1210,797,583,3330
Henry Ford - Wikipedia.txt,910,1576,1961,1977,5803
British Empire - Wikipedia.txt,1313,2027,2628,1710,8783
Book - Wikipedia.txt,837,1410,1381,1279,4686
Benjamin Franklin - Wikipedia.txt,2663,3526,3367,2560,12166
Quran - Wikipedia.txt,1720,2469,2643,1883,8161
Clothing - Wikipedia.txt,444,682,707,772,3085
Delhi - Wikipedia.txt,1641,2114,2189,1837,9115
Marco Polo - Wikipedia.txt,524,1271,1311,1413,4297
Molecule - Wikipedia.txt,650,453,397,347,2122
Africa - Wikipedia.txt,2318,1754,1861,1518,8258
Spanish language - Wikipedia.txt,2047,2368,1819,1469,8514
Pythagoras - Wikipedia.txt,1413,1258,1360,1196,4810
Proton - Wikipedia.txt,997,937,836,717,3008
World Health Organization - Wikipedia.txt,1066,1264,1591,887,5617
Feminism - Wikipedia.txt,1335,2083,2255,1828,9894
Cereal - Wikipedia.txt,553,342,417,408,1670
Acid–base reaction - Wikipedia.txt,458,655,605,546,1811
Slavery - Wikipedia.txt,2297,3198,3029,2708,13066
Drawing - Wikipedia.txt,425,628,651,543,2253
Albert Einstein - Wikipedia.txt,1380,2492,2542,2116,9597
Mahatma Gandhi - Wikipedia.txt,2291,4151,4565,3675,17524
Hinduism - Wikipedia.txt,2990,3878,4302,3632,18037
Russian Empire - Wikipedia.txt,1466,2124,2616,1685,7875
Family - Wikipedia.txt,1335,2116,1887,1550,7823
Eastern Orthodox Church - Wikipedia.txt,2800,5269,5880,3896,17310
Plane (geometry) - Wikipedia.txt,2452,1071,441,266,1252
Moon - Wikipedia.txt,1900,2674,2795,2724,9815
Cooking - Wikipedia.txt,1009,724,652,855,3599
Antibiotics - Wikipedia.txt,1666,1523,1309,1129,6469
Fire - Wikipedia.txt,506,687,661,647,2385
Cold War - Wikipedia.txt,1945,2785,3828,2829,12835
Grand Canyon - Wikipedia.txt,1041,1283,1661,1332,5927
Ancient Greek philosophy - Wikipedia.txt,705,769,823,655,3153
Pop music - Wikipedia.txt,620,436,597,527,2225
Artificial intelligence - Wikipedia.txt,3262,2949,2628,2904,14695
Malaria - Wikipedia.txt,1393,2242,1908,1564,8338
Augustus - Wikipedia.txt,2955,3202,3509,2364,10661
Steam engine - Wikipedia.txt,958,1511,1637,1250,5949
Cell (biology) - Wikipedia.txt,559,782,833,755,3050
Industrial Revolution - Wikipedia.txt,1106,3219,4014,2991,12502
Aircraft - Wikipedia.txt,808,1030,1089,919,3838
Rembrandt - Wikipedia.txt,1233,1456,1787,1267,5173
Ernest Hemingway - Wikipedia.txt,990,2050,2391,2234,7011
Laozi - Wikipedia.txt,643,645,725,550,2495
Great Wall of China - Wikipedia.txt,596,935,1118,1123,3197
Afterlife - Wikipedia.txt,1878,2414,2506,2098,8374
Colosseum - Wikipedia.txt,718,1271,1507,1049,4170
Angkor Wat - Wikipedia.txt,1296,1067,1314,1036,4660
Confucius - Wikipedia.txt,940,1541,1571,1297,5118
Dentistry - Wikipedia.txt,674,690,679,571,3055
Asia - Wikipedia.txt,1930,1463,1556,1512,6753
Agriculture - Wikipedia.txt,1016,1851,1854,1542,7174
Sikhism - Wikipedia.txt,1526,2193,2662,2500,9986
