Article_Name,1,2,3,4,5,6,7,8,9,10
Pericles - Wikipedia.txt,1130,1737,2122,1257,1000,1056,1095,1229,688,1264
Charlie Chaplin - Wikipedia.txt,1652,2690,3441,2878,2668,2325,2497,1912,1056,1559
Euclid - Wikipedia.txt,663,460,366,340,309,291,333,285,203,451
Carl Linnaeus - Wikipedia.txt,1369,1995,2102,1751,1341,1298,1444,1195,776,1424
Michelangelo - Wikipedia.txt,1123,1456,1689,1062,835,789,786,673,373,915
George Washington - Wikipedia.txt,1907,3233,3594,2915,2192,2381,2051,1955,1327,2835
Shen Kuo - Wikipedia.txt,875,1774,2202,2013,1304,949,1229,835,667,1160
Antoine Lavoisier - Wikipedia.txt,1136,1847,1683,1105,988,1025,960,757,738,1293
Charlemagne - Wikipedia.txt,2141,2994,3509,2180,1950,1698,1795,1505,1027,1889
Christopher Columbus - Wikipedia.txt,1091,2282,2372,1851,1632,1224,1291,1319,826,1191
Zheng He - Wikipedia.txt,944,1277,1476,1169,1063,792,841,652,465,706
Fyodor Dostoyevsky - Wikipedia.txt,979,1720,2165,1650,1450,1133,1169,894,756,1630
Li Bai - Wikipedia.txt,566,1368,1402,1097,788,655,671,442,297,661
Nikola Tesla - Wikipedia.txt,1497,2742,2709,2384,2371,1941,1538,1344,984,1804
Franz Kafka - Wikipedia.txt,1671,1828,2215,2015,2225,1867,1403,1106,874,1571
Virgil - Wikipedia.txt,812,849,898,661,592,690,552,500,366,599
Murasaki Shikibu - Wikipedia.txt,706,1139,1304,1030,899,596,700,710,382,614
Hammurabi - Wikipedia.txt,579,575,673,471,379,261,358,231,212,424
Alan Turing - Wikipedia.txt,813,2296,2403,2166,1333,1749,1237,1103,877,1419
Vincent van Gogh - Wikipedia.txt,1435,2282,3027,2719,1714,1479,1464,1065,746,1174
Herodotus - Wikipedia.txt,824,1308,1299,1132,895,762,741,556,715,962
René Descartes - Wikipedia.txt,1301,1717,1530,1290,1031,974,987,839,955,1605
Charles Darwin - Wikipedia.txt,1225,2362,2263,1879,1430,1803,1715,993,1056,1644
William Shakespeare - Wikipedia.txt,3607,2134,2566,2565,2426,1705,1651,1160,790,1822
Napoleon - Wikipedia.txt,3337,4086,4083,2846,2475,2781,2433,2304,1564,2298
Alfred Hitchcock - Wikipedia.txt,1006,1934,2455,2223,2013,1701,1218,1055,1091,1144
Johann Sebastian Bach - Wikipedia.txt,1414,2388,3041,2443,2014,1526,1268,1211,959,1614
Virginia Woolf - Wikipedia.txt,1552,1349,1319,1043,1122,737,794,681,374,720
Kurt Gödel - Wikipedia.txt,1230,811,807,1025,750,846,634,509,442,834
Abraham - Wikipedia.txt,691,1129,1368,894,915,690,734,473,363,618
Ibn Battuta - Wikipedia.txt,1061,1754,1911,1722,1294,942,1112,635,588,844
Winston Churchill - Wikipedia.txt,3355,4762,5107,3976,3322,3094,3291,2378,2315,3129
Claude Monet - Wikipedia.txt,1072,932,995,790,843,712,546,413,343,499
Igor Stravinsky - Wikipedia.txt,886,1538,1650,1489,1278,1078,975,733,615,1453
James Joyce - Wikipedia.txt,475,1311,1335,1237,1140,810,793,589,428,636
Akira Kurosawa - Wikipedia.txt,1682,1971,2523,2151,2091,1477,1368,1448,985,1362
Joan of Arc - Wikipedia.txt,869,2122,2213,1747,1301,1114,1220,882,643,1033
Frédéric Chopin - Wikipedia.txt,1241,2435,2176,1695,1631,1484,1265,1112,753,1186
Muhammad - Wikipedia.txt,3190,3158,3484,2664,2441,2130,1938,1754,1363,1963
Sophocles - Wikipedia.txt,654,685,700,526,462,363,490,346,373,505
Ferdinand Magellan - Wikipedia.txt,380,936,1011,824,686,508,576,496,341,520
Moses - Wikipedia.txt,1246,2006,2356,1612,1562,1285,1158,905,668,1097
Richard Wagner - Wikipedia.txt,810,1999,2301,1889,1582,1548,1297,985,793,1457
Jabir ibn Hayyan - Wikipedia.txt,647,927,1095,769,767,575,646,508,408,736
Niels Bohr - Wikipedia.txt,886,1313,1350,1643,1077,990,955,661,655,1033
Elizabeth I of England - Wikipedia.txt,2454,2680,2545,1754,1440,1320,1157,913,841,1061
Mao Zedong - Wikipedia.txt,1991,3471,4420,3534,2677,2533,2333,1925,1546,2449
Louis Pasteur - Wikipedia.txt,722,1492,1464,1235,1027,806,1263,734,587,1145
Thomas Edison - Wikipedia.txt,1157,1867,1887,1705,1382,1700,1261,1057,753,1244
Pierre-Simon Laplace - Wikipedia.txt,1501,2220,1949,1495,1140,885,1190,837,709,1347
Hatshepsut - Wikipedia.txt,1408,1282,1599,1172,1004,700,788,636,457,908
Qin Shi Huang - Wikipedia.txt,803,1485,1975,1350,1156,748,839,518,447,774
Archimedes - Wikipedia.txt,1043,1533,1276,1053,855,690,672,644,492,1149
James Clerk Maxwell - Wikipedia.txt,524,1363,1396,996,979,702,822,664,511,900
Edgar Allan Poe - Wikipedia.txt,938,1259,1626,1251,1401,981,795,686,569,837
Louis Armstrong - Wikipedia.txt,882,1742,2191,1949,1633,1098,1037,705,830,937
Vladimir Lenin - Wikipedia.txt,1763,2808,3284,4461,2936,2276,2377,1732,1552,3127
Hokusai - Wikipedia.txt,430,581,609,559,420,370,376,276,178,314
Isaac Newton - Wikipedia.txt,1558,2285,2171,1727,1573,1584,1502,1022,872,1689
Leonhard Euler - Wikipedia.txt,1128,1282,1115,754,806,690,654,619,414,969
Aristotle - Wikipedia.txt,2092,2625,2354,1911,1654,1630,1615,1189,1290,2177
Simón Bolívar - Wikipedia.txt,1852,2171,1634,1284,1187,957,1255,949,777,994
Immanuel Kant - Wikipedia.txt,2578,3304,2997,2622,2226,2009,2038,1807,1529,3295
Sigmund Freud - Wikipedia.txt,1577,3266,3633,2665,2544,2065,1940,1594,1329,2872
Genghis Khan - Wikipedia.txt,998,1792,2458,1970,1374,1434,1675,1007,741,977
Leo Tolstoy - Wikipedia.txt,948,1024,1209,919,810,692,868,631,510,903
James Cook - Wikipedia.txt,992,1292,1423,1294,1206,983,945,680,592,840
Homer - Wikipedia.txt,1133,662,774,711,757,575,665,448,425,835
