Article_Name,1,2,3,4,5,6,7,8,9,10
Natural gas - Wikipedia.txt,560,1583,1843,1196,963,876,1103,756,647,1029
Book - Wikipedia.txt,837,1410,1381,1279,1149,819,897,545,453,823
Arch - Wikipedia.txt,1651,628,563,654,660,562,408,309,248,479
Pasteurization - Wikipedia.txt,587,800,745,733,471,469,486,387,299,775
Technology - Wikipedia.txt,1090,1075,1192,983,846,729,800,689,515,1385
Tank - Wikipedia.txt,1382,1966,2398,2107,1534,1435,1370,1169,642,1396
Map - Wikipedia.txt,641,652,714,628,454,340,372,361,245,521
Animal husbandry - Wikipedia.txt,732,1007,1119,983,779,748,765,519,469,810
Paper - Wikipedia.txt,683,636,672,661,711,524,470,453,306,648
Robotics - Wikipedia.txt,1070,1418,1523,1394,1191,1078,1077,928,700,1494
Global Positioning System - Wikipedia.txt,2617,2735,2942,1998,1579,1453,1498,1538,1204,2152
Internet - Wikipedia.txt,1005,1965,2125,1779,1403,1151,1327,1500,830,1557
Explosive material - Wikipedia.txt,467,1336,1187,895,669,623,682,658,645,1098
Laser - Wikipedia.txt,934,1720,1489,1435,1528,1201,1058,816,667,1334
House - Wikipedia.txt,564,481,504,441,474,397,366,283,220,475
Transistor - Wikipedia.txt,713,1002,1197,965,716,603,785,592,450,1199
Clock - Wikipedia.txt,942,1440,1488,1349,1159,1128,873,701,523,1040
Fire - Wikipedia.txt,506,687,661,647,490,394,430,364,204,503
Artificial intelligence - Wikipedia.txt,3262,2949,2628,2904,2093,2119,2346,2245,1585,4307
Renewable energy - Wikipedia.txt,1646,2207,2188,2026,1909,1824,1387,1139,1060,1932
Steam engine - Wikipedia.txt,958,1511,1637,1250,1475,1018,1014,765,567,1110
Hydropower - Wikipedia.txt,652,457,449,378,413,321,323,237,213,489
Aircraft - Wikipedia.txt,808,1030,1089,919,720,595,729,806,414,574
Transport - Wikipedia.txt,622,834,875,723,637,524,539,457,469,729
Anesthesia - Wikipedia.txt,893,1255,1085,810,717,628,810,678,534,1316
Pendulum - Wikipedia.txt,1412,2372,2381,1704,1393,1355,1148,1245,784,1330
Engineering - Wikipedia.txt,914,1009,1013,711,574,508,679,697,519,1420
